team,gf,ga,gd,points
Manchester Utd,67,31,36,84
Aston Villa,57,40,17,74
Norwich City,61,65,-4,72
Blackburn,68,46,22,71
QPR,63,55,8,63
Liverpool,62,55,7,59
Sheffield Weds,55,51,4,59
Tottenham,60,66,-6,59
Manchester City,56,51,5,57
Arsenal,40,38,2,56
Chelsea,51,54,-3,56
Wimbledon,56,55,1,54
Everton,53,55,-2,53
Sheffield Utd,54,53,1,52
Coventry City,52,57,-5,52
Ipswich Town,50,55,-5,52
Leeds United,57,62,-5,51
Southampton,54,61,-7,50
Oldham Athletic,63,74,-11,49
Crystal Palace,48,61,-13,49
Middlesbrough,54,75,-21,44
Nottingham Forest,41,62,-21,40
Manchester Utd,80,38,42,92
Blackburn,63,36,27,84
Newcastle Utd,82,41,41,77
Arsenal,53,28,25,71
Leeds United,65,39,26,70
Wimbledon,56,53,3,65
Sheffield Weds,76,54,22,64
Liverpool,59,55,4,60
QPR,62,61,1,60
Aston Villa,46,50,-4,57
Coventry City,43,45,-2,56
Norwich City,65,61,4,53
West Ham,47,58,-11,52
Chelsea,49,53,-4,51
Tottenham,54,59,-5,45
Manchester City,38,49,-11,45
Everton,42,63,-21,44
Southampton,49,66,-17,43
Ipswich Town,35,58,-23,43
Sheffield Utd,42,60,-18,42
Oldham Athletic,42,68,-26,40
Swindon Town,47,100,-53,30
Blackburn,80,39,41,89
Manchester Utd,77,29,48,88
Nottingham Forest,72,43,29,77
Liverpool,65,37,28,74
Leeds United,59,38,21,73
Newcastle Utd,67,47,20,72
Tottenham,66,58,8,62
QPR,61,59,2,60
Wimbledon,48,65,-17,56
Southampton,61,63,-2,54
Chelsea,50,55,-5,54
Arsenal,53,49,4,51
Sheffield Weds,49,57,-8,51
West Ham,44,48,-4,50
Everton,44,51,-7,50
Coventry City,44,62,-18,50
Manchester City,53,64,-11,49
Aston Villa,51,56,-5,48
Crystal Palace,34,49,-15,45
Norwich City,37,54,-17,43
Leicester City,45,80,-35,29
Ipswich Town,36,93,-57,27
Manchester Utd,73,35,38,82
Newcastle Utd,66,37,29,78
Liverpool,70,34,36,71
Aston Villa,52,35,17,63
Arsenal,49,32,17,63
Everton,64,44,20,61
Blackburn,61,47,14,61
Tottenham,50,38,12,61
Nottingham Forest,50,54,-4,58
West Ham,43,52,-9,51
Chelsea,46,44,2,50
Middlesbrough,35,50,-15,43
Leeds United,40,57,-17,43
Wimbledon,55,70,-15,41
Sheffield Weds,48,61,-13,40
Coventry City,42,60,-18,38
Southampton,34,52,-18,38
Manchester City,33,58,-25,38
QPR,38,57,-19,33
Bolton,39,71,-32,29
Manchester Utd,76,44,32,75
Newcastle Utd,73,40,33,68
Arsenal,62,32,30,68
Liverpool,62,37,25,68
Aston Villa,47,34,13,61
Chelsea,58,55,3,59
Sheffield Weds,50,51,-1,57
Wimbledon,49,46,3,56
Leicester City,46,54,-8,47
Tottenham,44,51,-7,46
Leeds United,28,38,-10,46
Derby County,45,58,-13,46
Blackburn,42,43,-1,42
West Ham,39,48,-9,42
Everton,44,57,-13,42
Southampton,50,56,-6,41
Coventry City,38,54,-16,41
Sunderland,35,53,-18,40
Middlesbrough,51,60,-9,39
Nottingham Forest,31,59,-28,34
Arsenal,68,33,35,78
Manchester Utd,73,26,47,77
Liverpool,68,42,26,65
Chelsea,71,43,28,63
Leeds United,57,46,11,59
Blackburn,57,52,5,58
Aston Villa,49,48,1,57
West Ham,56,57,-1,56
Derby County,52,49,3,55
Leicester City,51,41,10,53
Coventry City,46,44,2,52
Southampton,50,55,-5,48
Newcastle Utd,35,44,-9,44
Tottenham,44,56,-12,44
Wimbledon,34,46,-12,44
Sheffield Weds,52,67,-15,44
Everton,41,56,-15,40
Bolton,41,61,-20,40
Barnsley,37,82,-45,35
Crystal Palace,37,71,-34,33
Manchester Utd,80,37,43,79
Arsenal,59,17,42,78
Chelsea,57,30,27,75
Leeds United,62,34,28,67
West Ham,46,53,-7,57
Aston Villa,51,46,5,55
Liverpool,68,49,19,54
Derby County,40,45,-5,52
Middlesbrough,48,54,-6,51
Leicester City,40,46,-6,49
