HomeTeam,AwayTeam,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeTeam_label,AwayTeam_label,FullTimeResult_label,HalfTimeResult_label
Charlton,Man City,H,2,0,H,12,26,2,2
Chelsea,West Ham,H,1,0,H,13,43,2,2
Coventry,Middlesbrough,A,1,1,D,14,28,0,1
Derby,Southampton,D,1,2,A,16,36,1,0
Leeds,Everton,H,2,0,H,22,17,2,2
Leicester,Aston Villa,D,0,0,D,23,1,1,1
Liverpool,Bradford,H,0,0,D,24,7,2,1
Sunderland,Arsenal,H,0,0,D,38,0,2,1
Tottenham,Ipswich,H,2,1,H,40,21,2,2
Man United,Newcastle,H,1,0,H,27,29,2,2
Arsenal,Liverpool,H,1,0,H,0,24,2,2
Bradford,Chelsea,H,1,0,H,7,13,2,2
Ipswich,Man United,D,1,1,D,21,27,1,1
Middlesbrough,Tottenham,D,0,1,A,28,40,1,0
Everton,Charlton,H,0,0,D,17,12,2,1
Man City,Sunderland,H,2,0,H,26,38,2,2
Newcastle,Derby,H,1,1,D,29,16,2,1
Southampton,Coventry,A,0,1,A,36,14,0,0
West Ham,Leicester,A,0,0,D,43,23,0,1
Arsenal,Charlton,H,1,2,A,0,12,2,0
Bradford,Leicester,D,0,0,D,7,23,1,1
Everton,Derby,D,2,0,H,17,16,1,2
Ipswich,Sunderland,H,0,0,D,21,38,2,1
Man City,Coventry,A,0,2,A,26,14,0,0
Middlesbrough,Leeds,A,0,2,A,28,22,0,0
Newcastle,Tottenham,H,1,0,H,29,40,2,2
Southampton,Liverpool,D,0,1,A,36,24,1,0
West Ham,Man United,D,0,1,A,43,27,1,0
Aston Villa,Chelsea,D,1,1,D,1,13,1,1
Leeds,Man City,A,0,2,A,22,26,0,0
Man United,Bradford,H,2,0,H,27,7,2,2
Sunderland,West Ham,D,1,1,D,38,43,1,1
Tottenham,Everton,H,1,2,A,40,17,2,0
Charlton,Southampton,D,0,0,D,12,36,1,1
Chelsea,Arsenal,D,1,0,H,13,0,1,2
Coventry,Newcastle,A,0,1,A,14,29,0,0
Derby,Middlesbrough,D,0,1,A,16,28,1,0
Leicester,Ipswich,H,0,0,D,23,21,2,1
Liverpool,Aston Villa,H,3,0,H,24,1,2,2
Bradford,Arsenal,D,1,0,H,7,0,1,2
Coventry,Leeds,D,0,0,D,14,22,1,1
Ipswich,Aston Villa,A,0,1,A,21,1,0,0
Leicester,Southampton,H,0,0,D,23,36,2,1
Liverpool,Man City,H,1,0,H,24,26,2,2
Man United,Sunderland,H,1,0,H,27,38,2,2
Middlesbrough,Everton,A,1,0,H,28,17,0,2
Newcastle,Chelsea,D,0,0,D,29,13,1,1
Derby,Charlton,D,2,0,H,16,12,1,2
Tottenham,West Ham,H,0,0,D,40,43,2,1
Arsenal,Coventry,H,1,0,H,0,14,2,2
Aston Villa,Bradford,H,1,0,H,1,7,2,2
Charlton,Tottenham,H,1,0,H,12,40,2,2
Everton,Man United,A,0,3,A,17,27,0,0
Leeds,Ipswich,A,1,1,D,22,21,0,1
Southampton,Newcastle,H,0,0,D,36,29,2,1
Sunderland,Derby,H,1,0,H,38,16,2,2
Chelsea,Leicester,A,0,1,A,13,23,0,0
Man City,Middlesbrough,D,0,0,D,26,28,1,1
West Ham,Liverpool,D,0,1,A,43,24,1,0
Bradford,Southampton,A,0,1,A,7,36,0,0
Coventry,West Ham,A,0,2,A,14,43,0,0
Derby,Leeds,D,0,1,A,16,22,1,0
Ipswich,Arsenal,D,0,0,D,21,0,1,1
Liverpool,Sunderland,D,1,1,D,24,38,1,1
Man United,Chelsea,D,3,2,H,27,13,1,2
Middlesbrough,Aston Villa,D,0,0,D,28,1,1,1
Newcastle,Charlton,A,0,1,A,29,12,0,0
Tottenham,Man City,D,0,0,D,40,26,1,1
Leicester,Everton,D,1,0,H,23,17,1,2
Aston Villa,Derby,H,2,0,H,1,16,2,2
Charlton,Coventry,D,0,1,A,12,14,1,0
Everton,Ipswich,A,0,1,A,17,21,0,0
Leeds,Tottenham,H,0,1,A,22,40,2,0
Man City,Newcastle,A,0,0,D,26,29,0,1
Southampton,Middlesbrough,A,0,2,A,36,28,0,0
West Ham,Bradford,D,1,0,H,43,7,1,2
Arsenal,Man United,H,1,0,H,0,27,2,2
Chelsea,Liverpool,H,2,0,H,13,24,2,2
Sunderland,Leicester,D,0,0,D,38,23,1,1
Arsenal,Aston Villa,H,0,0,D,0,1,2,1
Coventry,Tottenham,H,2,0,H,14,40,2,2
Everton,Southampton,D,0,0,D,17,36,1,1
Ipswich,West Ham,D,1,0,H,21,43,1,2
Leeds,Charlton,H,1,0,H,22,12,2,2
Leicester,Man United,A,0,1,A,23,27,0,0
Man City,Bradford,H,2,0,H,26,7,2,2
Sunderland,Chelsea,H,0,0,D,38,13,2,1
Derby,Liverpool,A,0,1,A,16,24,0,0
Middlesbrough,Newcastle,A,0,1,A,28,29,0,0
Bradford,Ipswich,A,0,1,A,7,21,0,0
Charlton,Middlesbrough,H,0,0,D,12,28,2,1
Chelsea,Coventry,H,2,0,H,13,14,2,2
Liverpool,Leicester,H,0,0,D,24,23,2,1
Man United,Leeds,H,1,0,H,27,22,2,2
Newcastle,Everton,A,0,0,D,29,17,0,1
Tottenham,Derby,H,2,1,H,40,16,2,2
West Ham,Arsenal,A,0,2,A,43,0,0,0
Aston Villa,Sunderland,D,0,0,D,1,38,1,1
Southampton,Man City,A,0,1,A,36,26,0,0
Arsenal,Man City,H,1,0,H,0,26,2,2
Aston Villa,Charlton,H,2,0,H,1,12,2,2
Chelsea,Tottenham,H,2,0,H,13,40,2,2
Ipswich,Middlesbrough,H,2,0,H,21,28,2,2
Leicester,Derby,H,1,1,D,23,16,2,1
Man United,Southampton,H,2,0,H,27,36,2,2
Sunderland,Coventry,H,0,0,D,38,14,2,1
West Ham,Newcastle,H,0,0,D,43,29,2,1
Bradford,Leeds,D,1,0,H,7,22,1,2
Liverpool,Everton,H,1,1,D,24,17,2,1
Charlton,Bradford,H,2,0,H,12,7,2,2
Coventry,Man United,A,0,2,A,14,27,0,0
Leeds,Liverpool,H,1,2,A,22,24,2,0
Man City,Leicester,A,0,0,D,26,23,0,1
Middlesbrough,Arsenal,A,0,1,A,28,0,0,0
Newcastle,Ipswich,H,1,1,D,29,21,2,1
Southampton,Chelsea,H,2,0,H,36,13,2,2
Tottenham,Sunderland,H,1,0,H,40,38,2,2
Everton,Aston Villa,A,0,0,D,17,1,0,1
Derby,West Ham,D,0,0,D,16,43,1,1
Arsenal,Derby,D,0,0,D,0,16,1,1
Aston Villa,Tottenham,H,1,0,H,1,40,2,2
Bradford,Everton,A,0,0,D,7,17,0,1
Ipswich,Charlton,H,0,0,D,21,12,2,1
Leicester,Newcastle,D,0,0,D,23,29,1,1
Man United,Middlesbrough,H,0,1,A,27,28,2,0
Sunderland,Southampton,D,1,1,D,38,36,1,1
West Ham,Man City,H,0,1,A,43,26,2,0
Chelsea,Leeds,D,0,0,D,13,22,1,1
Liverpool,Coventry,H,1,0,H,24,14,2,2
Charlton,Chelsea,H,1,0,H,12,13,2,2
Derby,Bradford,H,0,0,D,16,7,2,1
Everton,Arsenal,H,0,0,D,17,0,2,1
Leeds,West Ham,A,0,1,A,22,43,0,0
Man City,Man United,A,0,1,A,26,27,0,0
Middlesbrough,Leicester,A,0,2,A,28,23,0,0
Newcastle,Sunderland,A,1,0,H,29,38,0,2
Southampton,Aston Villa,H,2,0,H,36,1,2,2
Tottenham,Liverpool,H,2,1,H,40,24,2,2
Coventry,Ipswich,A,0,0,D,14,21,0,1
Charlton,Sunderland,A,0,0,D,12,38,0,1
Coventry,Aston Villa,D,0,1,A,14,1,1,0
Derby,Man United,A,0,0,D,16,27,0,1
Everton,Chelsea,H,0,1,A,17,13,2,0
Man City,Ipswich,A,0,2,A,26,21,0,0
Middlesbrough,Bradford,D,0,2,A,28,7,1,0
Southampton,West Ham,A,1,2,A,36,43,0,0
Tottenham,Leicester,H,2,0,H,40,23,2,2
Leeds,Arsenal,H,0,0,D,22,0,2,1
Newcastle,Liverpool,H,1,0,H,29,24,2,2
Arsenal,Southampton,H,0,0,D,0,36,2,1
Aston Villa,Newcastle,D,1,0,H,1,29,1,2
Bradford,Coventry,H,0,0,D,7,14,2,1
Ipswich,Derby,A,0,1,A,21,16,0,0
Leicester,Leeds,H,3,0,H,23,22,2,2
Liverpool,Charlton,H,1,0,H,24,12,2,2
Man United,Tottenham,H,1,0,H,27,40,2,2
West Ham,Middlesbrough,H,1,0,H,43,28,2,2
Chelsea,Man City,H,2,0,H,13,26,2,2
Sunderland,Everton,H,1,0,H,38,17,2,2
Arsenal,Newcastle,H,2,0,H,0,29,2,2
Bradford,Tottenham,D,1,2,A,7,40,1,0
Charlton,Man United,D,1,2,A,12,27,1,0
Chelsea,Derby,H,3,0,H,13,16,2,2
Man City,Everton,H,3,0,H,26,17,2,2
Southampton,Leeds,H,1,0,H,36,22,2,2
Sunderland,Middlesbrough,H,0,0,D,38,28,2,1
West Ham,Aston Villa,D,1,1,D,43,1,1,1
Coventry,Leicester,H,1,0,H,14,23,2,2
Liverpool,Ipswich,A,0,1,A,24,21,0,0
Aston Villa,Man City,D,0,0,D,1,26,1,1
Derby,Coventry,H,1,0,H,16,14,2,2
Everton,West Ham,D,0,0,D,17,43,1,1
Ipswich,Southampton,H,0,1,A,21,36,2,0
Leeds,Sunderland,H,1,0,H,22,38,2,2
Leicester,Charlton,H,1,1,D,23,12,2,1
Middlesbrough,Chelsea,H,0,0,D,28,13,2,1
Newcastle,Bradford,H,1,0,H,29,7,2,2
Man United,Liverpool,A,0,1,A,27,24,0,0
Tottenham,Arsenal,D,1,0,H,40,0,1,2
Coventry,Southampton,D,1,0,H,14,36,1,2
Charlton,Everton,H,1,0,H,12,17,2,2
Chelsea,Bradford,H,1,0,H,13,7,2,2
Derby,Newcastle,H,1,0,H,16,29,2,2
Leeds,Aston Villa,A,0,1,A,22,1,0,0
Leicester,West Ham,H,1,1,D,23,43,2,1
Liverpool,Arsenal,H,1,0,H,24,0,2,2
Man United,Ipswich,H,2,0,H,27,21,2,2
Sunderland,Man City,H,1,0,H,38,26,2,2
Tottenham,Middlesbrough,D,0,0,D,40,28,1,1
Arsenal,Leicester,H,1,0,H,0,23,2,2
Aston Villa,Man United,A,0,0,D,1,27,0,1
Bradford,Sunderland,A,0,1,A,7,38,0,0
Everton,Coventry,A,0,0,D,17,14,0,1
Ipswich,Chelsea,D,1,2,A,21,13,1,0
Man City,Derby,D,0,0,D,26,16,1,1
Middlesbrough,Liverpool,H,1,0,H,28,24,2,2
Newcastle,Leeds,H,2,1,H,29,22,2,2
West Ham,Charlton,H,3,0,H,43,12,2,2
Southampton,Tottenham,H,2,0,H,36,40,2,2
Arsenal,Sunderland,D,2,0,H,0,38,1,2
Ipswich,Tottenham,H,1,0,H,21,40,2,2
Man City,Charlton,A,0,2,A,26,12,0,0
Middlesbrough,Coventry,D,0,1,A,28,14,1,0
Newcastle,Man United,D,0,1,A,29,27,1,0
Southampton,Derby,H,0,0,D,36,16,2,1
Charlton,Arsenal,H,1,0,H,12,0,2,2
Chelsea,Aston Villa,H,1,0,H,13,1,2,2
Coventry,Man City,D,0,0,D,14,26,1,1
Derby,Everton,H,1,0,H,16,17,2,2
Leeds,Middlesbrough,D,0,1,A,22,28,1,0
Leicester,Bradford,A,1,2,A,23,7,0,0
Liverpool,Southampton,H,1,1,D,24,36,2,1
Man United,West Ham,H,2,0,H,27,43,2,2
Sunderland,Ipswich,H,1,1,D,38,21,2,1
Tottenham,Newcastle,H,3,1,H,40,29,2,2
Arsenal,Chelsea,D,1,0,H,0,13,1,2
Aston Villa,Liverpool,A,0,2,A,1,24,0,0
Bradford,Man United,A,0,0,D,7,27,0,1
Everton,Tottenham,D,0,0,D,17,40,1,1
Man City,Leeds,A,0,1,A,26,22,0,0
Middlesbrough,Derby,H,1,0,H,28,16,2,2
Newcastle,Coventry,H,1,0,H,29,14,2,2
Southampton,Charlton,D,0,0,D,36,12,1,1
