Season,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeCorners,AwayCorners,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards
0,12,26,4,0,2,2,0,2,17,8,14,4,6,6,13,12,1,2,0,0
0,13,43,4,2,2,1,0,2,17,12,10,5,7,7,19,14,1,2,0,0
0,14,28,1,3,0,1,1,1,6,16,3,9,8,4,15,21,5,3,1,0
0,16,36,2,2,1,1,2,0,6,13,4,6,5,8,11,13,1,1,0,0
0,22,17,2,0,2,2,0,2,17,12,8,6,6,4,21,20,1,3,0,0
0,23,1,0,0,1,0,0,1,5,5,4,3,5,4,12,12,2,3,0,0
0,24,7,1,0,2,0,0,1,16,3,10,2,6,1,8,8,1,1,0,0
0,38,0,1,0,2,0,0,1,8,14,2,7,2,9,10,21,3,1,0,1
0,40,21,3,1,2,2,1,2,20,15,6,5,3,4,14,13,0,0,0,0
0,27,29,2,0,2,1,0,2,19,9,9,6,7,1,7,13,0,1,0,0
0,0,24,2,0,2,1,0,2,17,7,12,4,10,11,25,20,2,4,1,2
0,7,13,2,0,2,1,0,2,12,14,3,6,6,4,14,16,0,1,0,0
0,21,27,1,1,1,1,1,1,13,15,8,6,4,6,10,7,1,4,0,0
0,28,40,1,1,1,0,1,0,12,11,6,4,5,5,9,18,2,1,0,0
0,17,12,3,0,2,0,0,1,13,8,8,4,3,5,17,15,2,1,0,1
0,26,38,4,2,2,2,0,2,15,9,10,4,7,3,24,14,3,3,0,0
0,29,16,3,2,2,1,1,1,9,10,4,5,9,6,23,11,0,3,1,0
0,36,14,1,2,0,0,1,0,12,7,4,5,6,5,18,20,5,3,0,0
0,43,23,0,1,0,0,0,1,17,4,12,2,11,5,16,14,3,3,1,0
0,0,12,5,3,2,1,2,0,18,7,9,4,8,3,12,15,0,1,0,0
0,7,23,0,0,1,0,0,1,8,13,4,8,6,8,11,12,1,2,0,0
0,17,16,2,2,1,2,0,2,12,7,9,4,11,2,11,9,2,3,0,0
0,21,38,1,0,2,0,0,1,14,9,5,3,7,6,10,12,1,1,0,0
0,26,14,1,2,0,0,2,0,14,9,5,8,5,5,7,12,2,3,0,0
0,28,22,1,2,0,0,2,0,15,16,8,11,4,8,12,20,2,0,0,0
0,29,40,2,0,2,1,0,2,15,10,6,2,4,2,13,10,0,0,0,0
0,36,24,3,3,1,0,1,0,14,9,7,4,7,1,7,6,0,0,0,0
0,43,27,2,2,1,0,1,0,17,8,8,5,7,5,12,9,1,0,0,0
0,1,13,1,1,1,1,1,1,12,11,9,7,7,10,13,12,0,1,0,0
0,22,26,1,2,0,0,2,0,6,8,1,3,9,4,18,24,2,2,0,0
0,27,7,6,0,2,2,0,2,21,6,12,4,5,1,12,10,0,1,0,0
0,38,43,1,1,1,1,1,1,17,16,7,9,4,11,19,14,2,3,0,0
0,40,17,3,2,2,1,2,0,11,11,7,6,7,5,11,10,1,2,0,0
0,12,36,1,1,1,0,0,1,8,11,6,3,10,14,14,16,3,3,1,0
0,13,0,2,2,1,1,0,2,12,13,5,5,7,6,16,22,3,1,0,0
0,14,29,0,2,0,0,1,0,13,13,3,6,6,8,11,18,1,1,0,0
0,16,28,3,3,1,0,1,0,9,5,5,4,11,5,8,10,3,2,0,0
0,23,21,2,1,2,0,0,1,12,7,6,3,6,2,12,13,1,1,0,0
0,24,1,3,1,2,3,0,2,11,9,7,4,8,7,13,7,0,2,0,0
0,7,0,1,1,1,1,0,2,9,18,5,11,4,10,17,13,0,2,0,0
0,14,22,0,0,1,0,0,1,9,11,1,5,6,6,15,14,2,2,0,0
0,21,1,1,2,0,0,1,0,15,5,5,2,5,3,9,13,1,3,0,0
0,23,36,1,0,2,0,0,1,17,9,6,5,10,6,6,9,0,0,0,0
0,24,26,3,2,2,1,0,2,14,9,8,7,9,4,17,17,3,4,0,0
0,27,38,3,0,2,1,0,2,15,5,7,1,4,4,18,14,1,3,0,0
0,28,17,1,2,0,1,0,2,9,12,5,9,7,7,16,5,3,0,0,0
0,29,13,0,0,1,0,0,1,10,10,4,3,5,6,17,21,0,3,0,0
0,16,12,2,2,1,2,0,2,12,10,6,6,4,11,17,12,3,1,0,0
0,40,43,1,0,2,0,0,1,15,11,7,5,11,3,14,13,1,2,0,0
0,0,14,2,1,2,1,0,2,18,6,13,2,8,4,5,13,1,2,0,0
0,1,7,2,0,2,1,0,2,12,8,7,4,5,6,8,12,0,2,0,0
0,12,40,1,0,2,1,0,2,9,10,5,5,7,5,8,10,0,0,0,0
0,17,27,1,3,0,0,3,0,6,17,4,9,6,5,10,11,4,1,0,0
0,22,21,1,2,0,1,1,1,11,12,6,7,6,3,12,19,1,3,0,0
0,36,29,2,0,2,0,0,1,13,10,9,7,4,8,14,14,0,0,0,0
0,38,16,2,1,2,1,0,2,15,10,8,5,4,5,16,28,2,3,0,0
0,13,23,0,2,0,0,1,0,16,7,10,5,15,3,16,17,3,1,0,0
0,26,28,1,1,1,0,0,1,11,4,4,2,9,3,15,11,2,5,0,0
0,43,24,1,1,1,0,1,0,15,7,4,2,9,0,5,13,0,2,0,0
0,7,36,0,1,0,0,1,0,14,6,6,4,7,5,14,18,3,1,0,0
0,14,43,0,3,0,0,2,0,9,12,2,10,5,6,12,11,0,1,0,0
0,16,22,1,1,1,0,1,0,13,16,7,6,7,4,17,15,2,2,1,0
0,21,0,1,1,1,0,0,1,17,10,6,4,4,7,8,13,1,2,0,0
0,24,38,1,1,1,1,1,1,11,8,6,3,12,3,14,18,2,2,0,0
0,27,13,3,3,1,3,2,2,11,13,5,5,8,4,15,19,3,2,0,0
0,28,1,1,1,1,0,0,1,12,15,5,7,5,5,7,14,3,0,0,0
0,29,12,0,1,0,0,1,0,12,4,5,2,4,7,14,10,1,2,0,0
0,40,26,0,0,1,0,0,1,18,7,5,2,5,4,10,14,0,2,0,0
0,23,17,1,1,1,1,0,2,10,9,4,3,9,3,14,13,3,1,0,0
0,1,16,4,1,2,2,0,2,12,11,7,6,6,6,0,1,1,1,0,0
0,12,14,2,2,1,0,1,0,12,10,8,6,6,6,8,16,1,2,0,0
0,17,21,0,3,0,0,1,0,7,9,3,7,4,1,6,5,1,0,0,0
0,22,40,4,3,2,0,1,0,14,10,7,5,6,4,11,20,0,2,0,0
0,26,29,0,1,0,0,0,1,9,15,7,9,10,8,16,12,0,1,0,0
0,36,28,1,3,0,0,2,0,16,7,8,5,6,6,6,22,2,2,0,0
0,43,7,1,1,1,1,0,2,14,9,6,6,7,2,14,10,3,2,0,0
0,0,27,1,0,2,1,0,2,7,13,5,4,3,11,18,17,2,3,0,0
0,13,24,3,0,2,2,0,2,11,10,5,2,3,1,14,14,1,1,0,0
0,38,23,0,0,1,0,0,1,11,8,5,2,6,2,12,8,3,1,0,0
0,0,1,1,0,2,0,0,1,16,8,10,3,7,4,12,20,1,4,0,1
0,14,40,2,1,2,2,0,2,0,4,5,5,3,5,12,16,0,4,1,0
0,17,36,1,1,1,0,0,1,7,7,3,4,9,8,16,13,1,3,0,0
0,21,43,1,1,1,1,0,2,11,7,8,2,8,5,10,11,0,4,0,0
0,22,12,3,1,2,1,0,2,22,10,10,8,8,5,7,9,0,1,0,0
0,23,27,0,3,0,0,1,0,10,16,4,5,6,7,8,11,0,0,0,0
0,26,7,2,0,2,2,0,2,13,10,10,2,5,6,10,16,0,2,0,0
0,38,13,1,0,2,0,0,1,16,11,11,2,5,0,12,18,0,1,1,1
0,16,24,0,4,0,0,1,0,6,16,0,11,4,3,18,13,1,1,0,0
0,28,29,1,3,0,0,1,0,8,15,2,8,6,6,8,13,2,1,0,0
0,7,21,0,2,0,0,1,0,7,12,3,3,9,1,15,14,1,0,0,0
0,12,28,1,0,2,0,0,1,5,8,2,6,5,6,11,19,2,2,0,0
0,13,14,6,1,2,2,0,2,33,3,19,3,10,0,6,8,0,1,0,1
0,24,23,1,0,2,0,0,1,24,8,11,3,10,9,8,10,1,2,0,0
0,27,22,3,0,2,1,0,2,26,5,14,0,12,4,9,18,0,2,0,0
0,29,17,0,1,0,0,0,1,11,9,4,4,5,4,9,12,1,3,0,0
0,40,16,3,1,2,2,1,2,18,8,8,7,7,4,9,16,1,2,0,0
0,43,0,1,2,0,0,2,0,11,13,3,5,5,4,15,11,1,0,0,0
0,1,38,0,0,1,0,0,1,17,7,4,3,7,3,11,17,1,3,0,0
0,36,26,0,2,0,0,1,0,19,11,6,4,9,3,10,15,1,2,0,0
0,0,26,5,0,2,1,0,2,22,6,14,2,10,4,6,13,0,3,0,1
0,1,12,2,1,2,2,0,2,12,7,7,4,9,6,13,11,3,2,0,0
0,13,40,3,0,2,2,0,2,9,6,7,3,2,3,12,14,3,3,0,0
0,21,28,2,1,2,2,0,2,19,7,11,3,6,1,8,17,0,2,0,0
0,23,16,2,1,2,1,1,1,9,7,5,2,7,3,9,18,0,3,0,0
0,27,36,5,0,2,2,0,2,16,12,8,5,7,7,5,9,0,0,0,0
0,38,14,1,0,2,0,0,1,11,10,7,4,1,3,17,10,2,2,0,0
0,43,29,1,0,2,0,0,1,11,12,4,5,3,8,15,10,3,2,0,0
0,7,22,1,1,1,1,0,2,11,12,6,9,5,9,15,15,3,4,0,0
0,24,17,3,1,2,1,1,1,10,9,8,7,9,6,10,10,0,1,0,1
0,12,7,2,0,2,2,0,2,11,12,7,8,3,6,10,20,0,1,0,1
0,14,27,1,2,0,0,2,0,4,11,2,6,3,9,17,8,1,1,0,0
0,22,24,4,3,2,1,2,0,10,14,7,8,7,7,18,18,1,4,0,0
0,26,23,0,1,0,0,0,1,14,3,3,2,9,4,12,14,1,2,0,0
0,28,0,0,1,0,0,1,0,4,11,3,8,5,8,10,11,1,1,1,0
0,29,21,2,1,2,1,1,1,11,8,6,5,7,4,13,7,1,0,0,0
0,36,13,3,2,2,2,0,2,10,9,4,4,7,7,16,11,4,2,0,0
0,40,38,2,1,2,1,0,2,11,12,6,3,8,7,18,9,1,0,1,0
0,17,1,0,1,0,0,0,1,14,4,6,1,6,2,17,23,3,2,0,0
0,16,43,0,0,1,0,0,1,14,6,2,6,6,1,14,18,1,1,0,0
0,0,16,0,0,1,0,0,1,15,9,9,2,10,0,12,13,0,2,0,0
0,1,40,2,0,2,1,0,2,11,3,6,2,10,1,15,13,0,3,0,0
0,7,17,0,1,0,0,0,1,11,9,6,4,3,3,8,18,1,2,0,0
0,21,12,2,0,2,0,0,1,30,7,13,4,13,3,8,12,0,2,0,0
0,23,29,1,1,1,0,0,1,8,7,4,1,0,3,7,8,1,1,0,0
0,27,28,2,1,2,0,1,0,18,5,11,1,10,0,5,10,0,0,0,0
0,38,36,2,2,1,1,1,1,11,10,5,5,7,4,13,21,1,1,0,0
0,43,26,4,1,2,0,1,0,22,10,11,5,7,5,7,7,1,1,0,0
0,13,22,1,1,1,0,0,1,12,11,7,3,3,2,19,24,4,4,0,0
0,24,14,4,1,2,1,0,2,19,10,13,5,7,1,10,12,1,0,0,0
0,12,13,2,0,2,1,0,2,10,13,6,3,4,5,18,22,2,3,0,0
0,16,7,2,0,2,0,0,1,7,7,3,4,2,4,10,18,3,1,0,0
0,17,0,2,0,2,0,0,1,4,4,2,2,3,5,20,12,3,1,0,0
0,22,43,0,1,0,0,1,0,15,4,6,3,2,2,14,19,1,1,0,0
0,26,27,0,1,0,0,1,0,10,8,4,4,10,11,13,8,3,1,0,0
0,28,23,0,3,0,0,2,0,11,9,4,7,6,2,8,12,3,1,0,0
0,29,38,1,2,0,1,0,2,19,9,9,6,1,4,17,26,1,3,0,0
0,36,1,2,0,2,2,0,2,7,9,3,3,3,3,10,10,0,0,0,0
0,40,24,2,1,2,2,1,2,6,9,4,4,6,5,11,13,1,2,0,0
0,14,21,0,1,0,0,0,1,12,10,5,4,5,5,10,12,1,1,0,0
0,12,38,0,1,0,0,0,1,10,8,2,3,7,8,16,16,0,1,0,0
0,14,1,1,1,1,0,1,0,10,7,2,4,6,1,9,19,1,2,0,0
0,16,27,0,3,0,0,0,1,1,12,0,7,3,9,12,12,2,1,0,0
0,17,13,2,1,2,0,1,0,11,10,5,6,1,4,11,18,0,3,0,1
0,26,21,2,3,0,0,2,0,9,11,4,4,6,5,8,5,0,2,0,0
0,28,7,2,2,1,0,2,0,14,9,9,5,6,4,17,18,0,2,1,0
0,36,43,2,3,0,1,2,0,10,14,5,8,6,10,12,10,1,2,0,0
0,40,23,3,0,2,2,0,2,15,11,7,5,5,8,21,15,1,3,0,1
0,22,0,1,0,2,0,0,1,12,9,6,3,8,4,19,22,1,7,0,0
0,29,24,2,1,2,1,0,2,9,13,6,9,5,11,17,15,3,2,0,0
0,0,36,1,0,2,0,0,1,24,7,12,5,16,8,14,15,0,2,0,0
0,1,29,1,1,1,1,0,2,8,9,4,5,8,2,11,12,2,1,0,0
0,7,14,2,1,2,0,0,1,10,13,6,7,9,8,11,12,3,2,0,0
0,21,16,0,1,0,0,1,0,11,3,5,3,6,1,13,13,1,1,0,0
0,23,22,3,1,2,3,0,2,8,12,5,4,0,6,10,7,1,2,0,1
0,24,12,3,0,2,1,0,2,13,7,3,2,6,5,10,9,1,1,0,0
0,27,40,2,0,2,1,0,2,16,5,8,3,7,5,7,8,2,1,0,0
0,43,28,1,0,2,1,0,2,14,5,6,3,7,5,17,19,1,4,0,1
0,13,26,2,1,2,2,0,2,9,11,7,5,7,10,9,12,2,0,0,0
