HomeTeam,AwayTeam,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult
Charlton,Man City,H,2,0,H
Chelsea,West Ham,H,1,0,H
Coventry,Middlesbrough,A,1,1,D
Derby,Southampton,D,1,2,A
Leeds,Everton,H,2,0,H
Leicester,Aston Villa,D,0,0,D
Liverpool,Bradford,H,0,0,D
Sunderland,Arsenal,H,0,0,D
Tottenham,Ipswich,H,2,1,H
Man United,Newcastle,H,1,0,H
Arsenal,Liverpool,H,1,0,H
Bradford,Chelsea,H,1,0,H
Ipswich,Man United,D,1,1,D
Middlesbrough,Tottenham,D,0,1,A
Everton,Charlton,H,0,0,D
Man City,Sunderland,H,2,0,H
Newcastle,Derby,H,1,1,D
Southampton,Coventry,A,0,1,A
West Ham,Leicester,A,0,0,D
Arsenal,Charlton,H,1,2,A
Bradford,Leicester,D,0,0,D
Everton,Derby,D,2,0,H
Ipswich,Sunderland,H,0,0,D
Man City,Coventry,A,0,2,A
Middlesbrough,Leeds,A,0,2,A
Newcastle,Tottenham,H,1,0,H
Southampton,Liverpool,D,0,1,A
West Ham,Man United,D,0,1,A
Aston Villa,Chelsea,D,1,1,D
Leeds,Man City,A,0,2,A
Man United,Bradford,H,2,0,H
Sunderland,West Ham,D,1,1,D
Tottenham,Everton,H,1,2,A
Charlton,Southampton,D,0,0,D
Chelsea,Arsenal,D,1,0,H
Coventry,Newcastle,A,0,1,A
Derby,Middlesbrough,D,0,1,A
Leicester,Ipswich,H,0,0,D
Liverpool,Aston Villa,H,3,0,H
Bradford,Arsenal,D,1,0,H
Coventry,Leeds,D,0,0,D
Ipswich,Aston Villa,A,0,1,A
Leicester,Southampton,H,0,0,D
Liverpool,Man City,H,1,0,H
Man United,Sunderland,H,1,0,H
Middlesbrough,Everton,A,1,0,H
Newcastle,Chelsea,D,0,0,D
Derby,Charlton,D,2,0,H
Tottenham,West Ham,H,0,0,D
Arsenal,Coventry,H,1,0,H
Aston Villa,Bradford,H,1,0,H
Charlton,Tottenham,H,1,0,H
Everton,Man United,A,0,3,A
Leeds,Ipswich,A,1,1,D
Southampton,Newcastle,H,0,0,D
Sunderland,Derby,H,1,0,H
Chelsea,Leicester,A,0,1,A
Man City,Middlesbrough,D,0,0,D
West Ham,Liverpool,D,0,1,A
Bradford,Southampton,A,0,1,A
Coventry,West Ham,A,0,2,A
Derby,Leeds,D,0,1,A
Ipswich,Arsenal,D,0,0,D
Liverpool,Sunderland,D,1,1,D
Man United,Chelsea,D,3,2,H
Middlesbrough,Aston Villa,D,0,0,D
Newcastle,Charlton,A,0,1,A
Tottenham,Man City,D,0,0,D
Leicester,Everton,D,1,0,H
Aston Villa,Derby,H,2,0,H
Charlton,Coventry,D,0,1,A
Everton,Ipswich,A,0,1,A
Leeds,Tottenham,H,0,1,A
Man City,Newcastle,A,0,0,D
Southampton,Middlesbrough,A,0,2,A
West Ham,Bradford,D,1,0,H
Arsenal,Man United,H,1,0,H
Chelsea,Liverpool,H,2,0,H
Sunderland,Leicester,D,0,0,D
Arsenal,Aston Villa,H,0,0,D
Coventry,Tottenham,H,2,0,H
Everton,Southampton,D,0,0,D
Ipswich,West Ham,D,1,0,H
Leeds,Charlton,H,1,0,H
Leicester,Man United,A,0,1,A
Man City,Bradford,H,2,0,H
Sunderland,Chelsea,H,0,0,D
Derby,Liverpool,A,0,1,A
Middlesbrough,Newcastle,A,0,1,A
Bradford,Ipswich,A,0,1,A
Charlton,Middlesbrough,H,0,0,D
Chelsea,Coventry,H,2,0,H
Liverpool,Leicester,H,0,0,D
Man United,Leeds,H,1,0,H
Newcastle,Everton,A,0,0,D
Tottenham,Derby,H,2,1,H
West Ham,Arsenal,A,0,2,A
Aston Villa,Sunderland,D,0,0,D
Southampton,Man City,A,0,1,A
Arsenal,Man City,H,1,0,H
Aston Villa,Charlton,H,2,0,H
Chelsea,Tottenham,H,2,0,H
Ipswich,Middlesbrough,H,2,0,H
Leicester,Derby,H,1,1,D
Man United,Southampton,H,2,0,H
Sunderland,Coventry,H,0,0,D
West Ham,Newcastle,H,0,0,D
Bradford,Leeds,D,1,0,H
Liverpool,Everton,H,1,1,D
Charlton,Bradford,H,2,0,H
Coventry,Man United,A,0,2,A
Leeds,Liverpool,H,1,2,A
Man City,Leicester,A,0,0,D
Middlesbrough,Arsenal,A,0,1,A
Newcastle,Ipswich,H,1,1,D
Southampton,Chelsea,H,2,0,H
Tottenham,Sunderland,H,1,0,H
Everton,Aston Villa,A,0,0,D
Derby,West Ham,D,0,0,D
Arsenal,Derby,D,0,0,D
Aston Villa,Tottenham,H,1,0,H
Bradford,Everton,A,0,0,D
Ipswich,Charlton,H,0,0,D
Leicester,Newcastle,D,0,0,D
Man United,Middlesbrough,H,0,1,A
Sunderland,Southampton,D,1,1,D
West Ham,Man City,H,0,1,A
Chelsea,Leeds,D,0,0,D
Liverpool,Coventry,H,1,0,H
Charlton,Chelsea,H,1,0,H
Derby,Bradford,H,0,0,D
Everton,Arsenal,H,0,0,D
Leeds,West Ham,A,0,1,A
Man City,Man United,A,0,1,A
Middlesbrough,Leicester,A,0,2,A
Newcastle,Sunderland,A,1,0,H
Southampton,Aston Villa,H,2,0,H
Tottenham,Liverpool,H,2,1,H
Coventry,Ipswich,A,0,0,D
Charlton,Sunderland,A,0,0,D
Coventry,Aston Villa,D,0,1,A
Derby,Man United,A,0,0,D
Everton,Chelsea,H,0,1,A
Man City,Ipswich,A,0,2,A
Middlesbrough,Bradford,D,0,2,A
Southampton,West Ham,A,1,2,A
Tottenham,Leicester,H,2,0,H
Leeds,Arsenal,H,0,0,D
Newcastle,Liverpool,H,1,0,H
Arsenal,Southampton,H,0,0,D
Aston Villa,Newcastle,D,1,0,H
Bradford,Coventry,H,0,0,D
Ipswich,Derby,A,0,1,A
Leicester,Leeds,H,3,0,H
Liverpool,Charlton,H,1,0,H
Man United,Tottenham,H,1,0,H
West Ham,Middlesbrough,H,1,0,H
Chelsea,Man City,H,2,0,H
Sunderland,Everton,H,1,0,H
Arsenal,Newcastle,H,2,0,H
Bradford,Tottenham,D,1,2,A
Charlton,Man United,D,1,2,A
Chelsea,Derby,H,3,0,H
Man City,Everton,H,3,0,H
Southampton,Leeds,H,1,0,H
Sunderland,Middlesbrough,H,0,0,D
West Ham,Aston Villa,D,1,1,D
Coventry,Leicester,H,1,0,H
Liverpool,Ipswich,A,0,1,A
Aston Villa,Man City,D,0,0,D
Derby,Coventry,H,1,0,H
Everton,West Ham,D,0,0,D
Ipswich,Southampton,H,0,1,A
Leeds,Sunderland,H,1,0,H
Leicester,Charlton,H,1,1,D
Middlesbrough,Chelsea,H,0,0,D
Newcastle,Bradford,H,1,0,H
Man United,Liverpool,A,0,1,A
Tottenham,Arsenal,D,1,0,H
Coventry,Southampton,D,1,0,H
Charlton,Everton,H,1,0,H
Chelsea,Bradford,H,1,0,H
Derby,Newcastle,H,1,0,H
Leeds,Aston Villa,A,0,1,A
Leicester,West Ham,H,1,1,D
Liverpool,Arsenal,H,1,0,H
Man United,Ipswich,H,2,0,H
Sunderland,Man City,H,1,0,H
Tottenham,Middlesbrough,D,0,0,D
Arsenal,Leicester,H,1,0,H
Aston Villa,Man United,A,0,0,D
Bradford,Sunderland,A,0,1,A
Everton,Coventry,A,0,0,D
Ipswich,Chelsea,D,1,2,A
Man City,Derby,D,0,0,D
Middlesbrough,Liverpool,H,1,0,H
Newcastle,Leeds,H,2,1,H
West Ham,Charlton,H,3,0,H
Southampton,Tottenham,H,2,0,H
Arsenal,Sunderland,D,2,0,H
Ipswich,Tottenham,H,1,0,H
Man City,Charlton,A,0,2,A
Middlesbrough,Coventry,D,0,1,A
Newcastle,Man United,D,0,1,A
Southampton,Derby,H,0,0,D
Charlton,Arsenal,H,1,0,H
Chelsea,Aston Villa,H,1,0,H
Coventry,Man City,D,0,0,D
Derby,Everton,H,1,0,H
Leeds,Middlesbrough,D,0,1,A
Leicester,Bradford,A,1,2,A
Liverpool,Southampton,H,1,1,D
Man United,West Ham,H,2,0,H
Sunderland,Ipswich,H,1,1,D
Tottenham,Newcastle,H,3,1,H
Arsenal,Chelsea,D,1,0,H
Aston Villa,Liverpool,A,0,2,A
Bradford,Man United,A,0,0,D
Everton,Tottenham,D,0,0,D
Man City,Leeds,A,0,1,A
Middlesbrough,Derby,H,1,0,H
Newcastle,Coventry,H,1,0,H
Southampton,Charlton,D,0,0,D
West Ham,Sunderland,A,0,1,A
Ipswich,Leicester,H,0,0,D
Chelsea,Ipswich,H,1,1,D
Coventry,Everton,A,0,3,A
Derby,Man City,D,0,0,D
Leeds,Newcastle,A,1,2,A
Leicester,Arsenal,D,0,0,D
Liverpool,Middlesbrough,D,0,0,D
Man United,Aston Villa,H,0,0,D
Tottenham,Southampton,D,0,0,D
Sunderland,Bradford,D,0,0,D
Charlton,West Ham,D,1,0,H
Aston Villa,Leeds,A,1,1,D
Arsenal,Bradford,H,2,0,H
Charlton,Derby,H,1,1,D
Chelsea,Newcastle,H,1,1,D
Everton,Middlesbrough,D,0,1,A
Leeds,Coventry,H,0,0,D
Man City,Liverpool,D,0,1,A
Southampton,Leicester,H,0,0,D
Sunderland,Man United,A,0,0,D
West Ham,Tottenham,D,0,0,D
Bradford,Aston Villa,A,0,0,D
Coventry,Arsenal,A,0,0,D
Derby,Sunderland,H,1,0,H
Ipswich,Leeds,A,0,2,A
Leicester,Chelsea,H,1,0,H
Liverpool,West Ham,H,2,0,H
Man United,Everton,H,0,0,D
Middlesbrough,Man City,D,0,1,A
Tottenham,Charlton,D,0,0,D
Everton,Leeds,D,1,0,H
Arsenal,Ipswich,H,0,0,D
Aston Villa,Middlesbrough,D,1,0,H
Chelsea,Man United,D,1,0,H
Everton,Leicester,H,2,0,H
Leeds,Derby,D,0,0,D
Man City,Tottenham,A,0,0,D
Southampton,Bradford,H,0,0,D
Sunderland,Liverpool,D,0,0,D
Charlton,Newcastle,H,2,0,H
West Ham,Coventry,D,0,0,D
Bradford,West Ham,A,0,1,A
Coventry,Charlton,D,1,1,D
Derby,Aston Villa,H,1,0,H
Ipswich,Everton,H,0,0,D
Leicester,Sunderland,H,1,0,H
Middlesbrough,Southampton,A,0,0,D
Newcastle,Man City,A,0,0,D
Tottenham,Leeds,A,1,1,D
Man United,Arsenal,H,5,1,H
Arsenal,West Ham,H,3,0,H
Coventry,Chelsea,D,0,0,D
Derby,Tottenham,H,2,0,H
Everton,Newcastle,D,0,0,D
Leeds,Man United,D,0,0,D
Leicester,Liverpool,H,0,0,D
Man City,Southampton,A,0,0,D
Middlesbrough,Charlton,D,0,0,D
Ipswich,Bradford,H,0,1,A
Sunderland,Aston Villa,D,0,0,D
West Ham,Chelsea,A,0,2,A
Aston Villa,Ipswich,H,0,1,A
Bradford,Man City,D,0,1,A
Charlton,Leeds,A,1,1,D
Chelsea,Sunderland,A,2,1,H
Man United,Leicester,H,0,0,D
Newcastle,Middlesbrough,A,0,2,A
Southampton,Everton,H,0,0,D
Tottenham,Coventry,H,2,0,H
West Ham,Ipswich,A,0,0,D
Aston Villa,Arsenal,D,0,0,D
Liverpool,Derby,D,0,1,A
Arsenal,Tottenham,H,0,0,D
Bradford,Newcastle,D,2,1,H
Chelsea,Middlesbrough,H,1,0,H
Coventry,Derby,H,1,0,H
Liverpool,Man United,H,2,0,H
Man City,Aston Villa,A,1,2,A
Sunderland,Leeds,A,0,1,A
West Ham,Everton,A,0,1,A
Charlton,Leicester,H,1,0,H
Southampton,Ipswich,A,0,1,A
Aston Villa,Leicester,H,1,1,D
Aston Villa,West Ham,D,0,0,D
Derby,Chelsea,A,0,0,D
Leeds,Southampton,H,1,0,H
Leicester,Coventry,A,1,2,A
Everton,Man City,H,2,1,H
Middlesbrough,Sunderland,D,0,0,D
Ipswich,Liverpool,D,0,0,D
Man United,Charlton,H,1,0,H
Tottenham,Bradford,H,1,1,D
Man City,Arsenal,A,0,4,A
Bradford,Charlton,H,0,0,D
Liverpool,Leeds,A,0,2,A
Arsenal,Middlesbrough,A,0,2,A
Aston Villa,Everton,H,1,1,D
Chelsea,Southampton,H,1,0,H
Ipswich,Newcastle,H,0,0,D
Leicester,Man City,A,1,1,D
Man United,Coventry,H,2,2,D
Sunderland,Tottenham,A,2,0,H
West Ham,Derby,H,3,0,H
Coventry,Sunderland,H,1,0,H
Derby,Leicester,H,1,0,H
Everton,Liverpool,A,1,1,D
Middlesbrough,Ipswich,A,1,0,H
Newcastle,West Ham,H,1,0,H
Charlton,Aston Villa,D,2,0,H
Tottenham,Chelsea,A,0,1,A
Arsenal,Everton,H,1,1,D
Aston Villa,Southampton,D,0,0,D
Bradford,Derby,H,1,0,H
Chelsea,Charlton,A,0,1,A
Ipswich,Coventry,H,1,0,H
Leicester,Middlesbrough,A,0,1,A
Man United,Man City,D,0,0,D
Sunderland,Newcastle,D,0,0,D
West Ham,Leeds,A,0,1,A
Liverpool,Tottenham,H,1,1,D
Coventry,Liverpool,A,0,0,D
Derby,Arsenal,A,1,1,D
Everton,Bradford,H,0,1,A
Leeds,Chelsea,H,0,0,D
Man City,West Ham,H,1,0,H
Middlesbrough,Man United,A,0,1,A
Newcastle,Leicester,H,0,0,D
Southampton,Sunderland,A,0,0,D
Tottenham,Aston Villa,D,0,0,D
Charlton,Ipswich,H,1,1,D
Bradford,Liverpool,A,0,0,D
Newcastle,Southampton,D,1,0,H
Arsenal,Leeds,H,1,0,H
Aston Villa,Coventry,H,0,2,A
Bradford,Middlesbrough,D,1,0,H
Chelsea,Everton,H,2,1,H
Leicester,Tottenham,H,1,0,H
Liverpool,Newcastle,H,1,0,H
Man United,Derby,A,0,1,A
Sunderland,Charlton,H,2,1,H
West Ham,Southampton,H,0,0,D
Ipswich,Man City,H,0,0,D
Liverpool,Chelsea,D,1,1,D
Leeds,Bradford,H,5,1,H
Southampton,Man United,H,2,0,H
Newcastle,Arsenal,D,0,0,D
Charlton,Liverpool,A,0,0,D
Coventry,Bradford,D,0,0,D
Derby,Ipswich,D,1,0,H
Everton,Sunderland,D,1,1,D
Leeds,Leicester,H,1,1,D
Man City,Chelsea,A,1,1,D
Middlesbrough,West Ham,H,2,1,H
Newcastle,Aston Villa,H,2,0,H
Southampton,Arsenal,H,0,1,A
Tottenham,Man United,H,1,1,D
Charlton,Everton,A,0,0,D
Derby,Blackburn,H,1,0,H
Leeds,Southampton,H,0,0,D
Leicester,Bolton,A,0,4,A
Liverpool,West Ham,H,1,1,D
Sunderland,Ipswich,H,1,0,H
Chelsea,Newcastle,D,1,0,H
Man United,Fulham,H,1,1,D
Everton,Tottenham,D,0,1,A
Arsenal,Leeds,A,1,1,D
Bolton,Middlesbrough,H,1,0,H
Ipswich,Derby,H,1,0,H
Blackburn,Man United,D,0,1,A
Fulham,Sunderland,H,0,0,D
Arsenal,Leicester,H,2,0,H
Blackburn,Tottenham,H,1,0,H
Everton,Middlesbrough,H,1,0,H
Fulham,Derby,D,0,0,D
Ipswich,Charlton,A,0,0,D
Southampton,Chelsea,A,0,1,A
West Ham,Leeds,D,0,0,D
Aston Villa,Man United,D,1,0,H
Newcastle,Sunderland,D,1,1,D
Bolton,Liverpool,H,1,0,H
Chelsea,Arsenal,D,1,1,D
Leeds,Bolton,D,0,0,D
Leicester,Ipswich,D,0,1,A
Liverpool,Aston Villa,A,0,1,A
Man United,Everton,H,2,0,H
Middlesbrough,Newcastle,A,1,1,D
Sunderland,Blackburn,H,0,0,D
Charlton,Fulham,D,1,1,D
Tottenham,Southampton,H,0,0,D
Bolton,Southampton,A,0,0,D
Derby,Leicester,A,1,1,D
Everton,Liverpool,A,1,2,A
Fulham,Arsenal,A,0,1,A
Middlesbrough,West Ham,H,2,0,H
Newcastle,Man United,H,2,1,H
Charlton,Leeds,A,0,1,A
Ipswich,Blackburn,D,1,0,H
Leicester,Middlesbrough,A,1,0,H
Blackburn,Bolton,D,0,0,D
Sunderland,Tottenham,A,0,1,A
Arsenal,Bolton,D,0,0,D
Blackburn,Everton,H,1,0,H
Leicester,Fulham,D,0,0,D
Liverpool,Tottenham,H,0,0,D
Sunderland,Charlton,D,0,1,A
Chelsea,Middlesbrough,D,2,0,H
Leeds,Derby,H,1,0,H
West Ham,Newcastle,H,1,0,H
Southampton,Aston Villa,A,1,2,A
Newcastle,Leicester,H,1,0,H
Bolton,Sunderland,A,0,0,D
Derby,Arsenal,A,0,1,A
Everton,West Ham,H,1,0,H
Tottenham,Man United,A,3,0,H
Aston Villa,Blackburn,H,0,0,D
Fulham,Chelsea,D,0,1,A
Ipswich,Leeds,A,1,0,H
Newcastle,Liverpool,A,0,1,A
Bolton,Newcastle,A,0,1,A
Charlton,Middlesbrough,D,0,0,D
Chelsea,Leicester,H,2,0,H
Ipswich,Everton,D,0,0,D
Liverpool,Leeds,D,0,1,A
Southampton,Arsenal,A,0,1,A
Sunderland,Man United,A,0,1,A
Aston Villa,Fulham,H,0,0,D
Blackburn,West Ham,H,3,1,H
Arsenal,Blackburn,D,0,1,A
Derby,Charlton,D,1,0,H
Everton,Aston Villa,H,1,0,H
Leicester,Liverpool,A,0,3,A
Man United,Bolton,A,1,1,D
Fulham,Ipswich,D,1,0,H
Leeds,Chelsea,D,0,0,D
Newcastle,Tottenham,A,0,2,A
Middlesbrough,Sunderland,H,2,0,H
Aston Villa,Charlton,H,1,0,H
Southampton,Ipswich,D,2,1,H
West Ham,Chelsea,H,2,1,H
Aston Villa,Bolton,H,2,1,H
Charlton,Liverpool,A,0,2,A
Everton,Newcastle,A,0,1,A
Fulham,Southampton,H,2,1,H
Man United,Leeds,D,0,0,D
Sunderland,Arsenal,D,0,1,A
Tottenham,Middlesbrough,H,0,1,A
Derby,Chelsea,D,1,0,H
Ipswich,West Ham,A,0,1,A
Blackburn,Leicester,D,0,0,D
Bolton,Everton,D,1,1,D
Leicester,Sunderland,H,0,0,D
Middlesbrough,Derby,H,0,0,D
Newcastle,Aston Villa,H,1,0,H
Southampton,Blackburn,A,1,1,D
West Ham,Fulham,A,0,1,A
Arsenal,Charlton,A,1,2,A
Chelsea,Ipswich,H,1,0,H
Leeds,Tottenham,H,0,0,D
Aston Villa,Middlesbrough,D,0,0,D
Blackburn,Liverpool,D,0,1,A
Derby,Southampton,H,1,0,H
Fulham,Newcastle,H,2,0,H
Man United,Leicester,H,1,0,H
Tottenham,Arsenal,D,0,0,D
Everton,Chelsea,D,0,0,D
Ipswich,Bolton,A,1,2,A
Sunderland,Leeds,H,0,0,D
Charlton,West Ham,D,2,2,D
Bolton,Fulham,D,0,0,D
Chelsea,Blackburn,D,0,0,D
Leicester,Everton,D,0,0,D
Newcastle,Derby,H,1,0,H
Southampton,Charlton,H,0,0,D
West Ham,Tottenham,A,0,0,D
Arsenal,Man United,H,0,1,A
Leeds,Aston Villa,D,1,1,D
Liverpool,Sunderland,H,1,0,H
Middlesbrough,Ipswich,D,0,0,D
Aston Villa,Leicester,A,0,1,A
Blackburn,Middlesbrough,A,0,1,A
Charlton,Newcastle,D,0,0,D
Ipswich,Arsenal,A,0,1,A
Man United,Chelsea,A,0,1,A
Sunderland,West Ham,H,0,0,D
Everton,Southampton,H,0,0,D
Fulham,Leeds,D,0,0,D
Tottenham,Bolton,H,0,1,A
Chelsea,Charlton,A,0,0,D
West Ham,Aston Villa,D,0,1,A
Charlton,Tottenham,H,2,0,H
Derby,Bolton,H,0,0,D
Fulham,Everton,H,1,0,H
Leicester,Southampton,A,0,1,A
Liverpool,Middlesbrough,H,2,0,H
Man United,West Ham,A,0,0,D
Arsenal,Aston Villa,H,0,2,A
Blackburn,Leeds,A,0,0,D
Ipswich,Newcastle,A,0,1,A
Sunderland,Chelsea,D,0,0,D
Liverpool,Fulham,D,0,0,D
Man United,Derby,H,2,0,H
Bolton,Charlton,D,0,0,D
Everton,Derby,H,0,0,D
Middlesbrough,Man United,A,0,0,D
Newcastle,Blackburn,H,0,1,A
Southampton,Sunderland,H,1,0,H
Tottenham,Fulham,H,2,0,H
West Ham,Arsenal,D,1,1,D
Leeds,Leicester,D,1,0,H
Aston Villa,Ipswich,H,1,1,D
Arsenal,Newcastle,A,1,0,H
Charlton,Blackburn,A,0,0,D
Derby,Aston Villa,H,1,1,D
Leeds,Newcastle,A,1,1,D
Leicester,West Ham,D,1,0,H
Man United,Southampton,H,3,0,H
Sunderland,Everton,H,0,0,D
Tottenham,Ipswich,A,1,1,D
Chelsea,Bolton,H,2,1,H
Liverpool,Arsenal,A,0,1,A
Arsenal,Chelsea,H,0,1,A
Aston Villa,Liverpool,A,1,1,D
Blackburn,Sunderland,A,0,2,A
Bolton,Leeds,A,0,2,A
Everton,Man United,A,0,0,D
Fulham,Charlton,D,0,0,D
Newcastle,Middlesbrough,H,1,0,H
Southampton,Tottenham,H,0,0,D
West Ham,Derby,H,1,0,H
Arsenal,Middlesbrough,H,0,1,A
Aston Villa,Tottenham,D,0,1,A
Blackburn,Derby,A,0,1,A
Bolton,Leicester,D,1,2,A
Everton,Charlton,A,0,1,A
Ipswich,Sunderland,H,4,0,H
Newcastle,Chelsea,A,1,2,A
Southampton,Leeds,A,0,0,D
West Ham,Liverpool,D,1,0,H
Fulham,Man United,A,1,2,A
Charlton,Ipswich,H,2,2,D
Chelsea,Southampton,A,2,1,H
Leeds,West Ham,H,2,0,H
Liverpool,Bolton,D,0,0,D
Middlesbrough,Everton,H,0,0,D
Tottenham,Blackburn,H,1,0,H
Derby,Fulham,A,0,0,D
Southampton,Liverpool,H,0,0,D
Aston Villa,Derby,H,2,1,H
Blackburn,Charlton,H,2,0,H
Bolton,Chelsea,D,0,0,D
Everton,Sunderland,H,1,0,H
Fulham,Middlesbrough,H,2,1,H
Newcastle,Leeds,H,1,1,D
West Ham,Leicester,H,1,0,H
Arsenal,Liverpool,D,0,0,D
Southampton,Man United,A,1,2,A
Derby,Ipswich,A,0,0,D
Liverpool,Southampton,D,1,0,H
Man United,Blackburn,H,1,0,H
Middlesbrough,Bolton,D,1,0,H
Sunderland,Fulham,D,0,1,A
Tottenham,Everton,D,1,1,D
Leeds,Arsenal,D,1,1,D
Charlton,Aston Villa,A,0,2,A
Man United,Liverpool,A,0,0,D
Leicester,Arsenal,A,0,2,A
Bolton,Man United,A,0,2,A
Charlton,Derby,H,0,0,D
Sunderland,Middlesbrough,A,0,1,A
Aston Villa,Everton,D,0,0,D
Blackburn,Arsenal,A,2,2,D
Chelsea,Leeds,H,2,0,H
Ipswich,Fulham,H,1,0,H
Southampton,West Ham,H,1,0,H
Tottenham,Newcastle,A,1,0,H
Arsenal,Southampton,D,1,0,H
Derby,Tottenham,H,1,0,H
Everton,Ipswich,A,1,2,A
Fulham,Aston Villa,D,0,0,D
Leicester,Chelsea,A,1,0,H
Man United,Sunderland,H,4,1,H
Newcastle,Bolton,H,2,2,D
West Ham,Blackburn,H,1,0,H
Leeds,Liverpool,A,0,1,A
Aston Villa,Chelsea,D,1,0,H
Bolton,West Ham,H,1,0,H
Derby,Sunderland,A,0,0,D
Fulham,Blackburn,H,1,0,H
Ipswich,Liverpool,A,0,2,A
Middlesbrough,Leeds,D,0,1,A
Newcastle,Southampton,H,3,1,H
Tottenham,Leicester,H,1,0,H
Charlton,Man United,A,0,1,A
Everton,Arsenal,A,0,0,D
Middlesbrough,Fulham,H,1,0,H
Arsenal,Fulham,H,3,1,H
Leicester,Derby,A,0,0,D
Liverpool,Everton,D,0,0,D
Southampton,Bolton,D,0,0,D
West Ham,Middlesbrough,H,0,0,D
Leeds,Charlton,D,0,0,D
Sunderland,Newcastle,A,0,0,D
Aston Villa,West Ham,H,1,1,D
Bolton,Blackburn,D,1,0,H
Charlton,Chelsea,H,0,0,D
Fulham,Liverpool,A,0,1,A
Ipswich,Southampton,A,0,0,D
Middlesbrough,Leicester,H,1,0,H
Newcastle,Arsenal,A,0,2,A
Tottenham,Sunderland,H,1,1,D
Derby,Man United,D,1,1,D
Everton,Leeds,D,0,0,D
Arsenal,Derby,H,0,0,D
Blackburn,Aston Villa,H,1,0,H
Sunderland,Bolton,H,1,0,H
Chelsea,Fulham,H,2,1,H
Leeds,Ipswich,H,0,0,D
Man United,Tottenham,H,2,0,H
Southampton,Middlesbrough,D,1,0,H
West Ham,Everton,H,0,0,D
Leicester,Charlton,D,1,1,D
Blackburn,Ipswich,H,2,0,H
Chelsea,Tottenham,H,1,0,H
Bolton,Derby,A,0,1,A
Chelsea,Sunderland,H,1,0,H
Everton,Fulham,H,2,0,H
Middlesbrough,Liverpool,A,0,1,A
Newcastle,Ipswich,D,0,0,D
Southampton,Leicester,D,1,2,A
West Ham,Man United,A,2,2,D
Aston Villa,Arsenal,A,1,0,H
Leeds,Blackburn,H,2,0,H
Tottenham,Charlton,A,0,0,D
Charlton,Bolton,A,0,2,A
Derby,Everton,A,0,1,A
Ipswich,Aston Villa,D,0,0,D
Leicester,Leeds,A,0,2,A
Man United,Middlesbrough,A,0,1,A
Sunderland,Southampton,D,0,0,D
Fulham,Tottenham,A,0,2,A
Liverpool,Chelsea,H,0,0,D
Newcastle,Everton,H,2,2,D
Arsenal,Sunderland,H,3,0,H
Bolton,Aston Villa,H,2,2,D
Chelsea,Derby,H,0,0,D
