iter	Passed	Remaining
0	47	47123
1	93	46556
2	140	46620
3	187	46810
4	231	46034
5	272	45140
6	323	45853
7	369	45764
8	412	45409
9	459	45474
10	513	46204
11	560	46127
12	605	45955
13	650	45831
14	691	45440
15	704	43345
16	743	43009
17	790	43148
18	832	42969
19	875	42901
20	918	42816
21	961	42749
22	1010	42928
23	1058	43043
24	1106	43166
25	1156	43305
26	1202	43348
27	1251	43443
28	1297	43446
29	1355	43812
30	1403	43857
31	1446	43742
32	1489	43641
33	1534	43608
34	1579	43549
35	1621	43424
36	1668	43414
37	1719	43524
38	1776	43782
39	1830	43931
40	1868	43705
41	1915	43682
42	1958	43584
43	1999	43452
44	2042	43338
45	2087	43301
46	2130	43197
47	2172	43091
48	2220	43092
49	2265	43052
50	2309	42978
51	2347	42795
52	2395	42801
53	2442	42780
54	2486	42720
55	2528	42627
56	2574	42590
57	2615	42481
58	2657	42389
59	2709	42454
60	2759	42473
61	2803	42408
62	2857	42505
63	2905	42489
64	2946	42390
65	3002	42485
66	3046	42424
67	3090	42360
68	3132	42265
69	3172	42143
70	3213	42048
71	3259	42006
72	3299	41904
73	3342	41825
74	3383	41725
75	3432	41732
76	3475	41666
77	3516	41572
78	3557	41476
79	3603	41434
80	3644	41353
81	3687	41282
82	3728	41188
83	3773	41149
84	3815	41069
85	3859	41021
86	3900	40937
87	3941	40848
88	3985	40792
89	4029	40743
90	4070	40655
91	4112	40592
92	4155	40525
93	4197	40453
94	4240	40399
95	4280	40310
96	4321	40233
97	4364	40166
98	4405	40089
99	4446	40016
100	4491	39980
101	4531	39894
102	4572	39821
103	4614	39759
104	4657	39701
105	4695	39603
106	4736	39530
107	4787	39542
108	4829	39479
109	4872	39421
110	4938	39555
111	4983	39508
112	5021	39416
113	5067	39385
114	5109	39318
115	5150	39251
116	5192	39190
117	5238	39152
118	5276	39064
119	5315	38981
120	5359	38934
121	5405	38902
122	5448	38850
123	5493	38811
124	5537	38762
125	5582	38725
126	5624	38661
