team,position,gf,ga,gd,points
Manchester Utd,1,67,31,36,84
Aston Villa,2,57,40,17,74
Norwich City,3,61,65,-4,72
Blackburn,4,68,46,22,71
QPR,5,63,55,8,63
Liverpool,6,62,55,7,59
Sheffield Weds,7,55,51,4,59
Tottenham,8,60,66,-6,59
Manchester City,9,56,51,5,57
Arsenal,10,40,38,2,56
Chelsea,11,51,54,-3,56
Wimbledon,12,56,55,1,54
Everton,13,53,55,-2,53
Sheffield Utd,14,54,53,1,52
Coventry City,15,52,57,-5,52
Ipswich Town,16,50,55,-5,52
Leeds United,17,57,62,-5,51
Southampton,18,54,61,-7,50
Oldham Athletic,19,63,74,-11,49
Crystal Palace,20,48,61,-13,49
Middlesbrough,21,54,75,-21,44
Nottingham Forest,22,41,62,-21,40
Manchester Utd,1,80,38,42,92
Blackburn,2,63,36,27,84
Newcastle Utd,3,82,41,41,77
Arsenal,4,53,28,25,71
Leeds United,5,65,39,26,70
Wimbledon,6,56,53,3,65
Sheffield Weds,7,76,54,22,64
Liverpool,8,59,55,4,60
QPR,9,62,61,1,60
Aston Villa,10,46,50,-4,57
Coventry City,11,43,45,-2,56
Norwich City,12,65,61,4,53
West Ham,13,47,58,-11,52
Chelsea,14,49,53,-4,51
Tottenham,15,54,59,-5,45
Manchester City,16,38,49,-11,45
Everton,17,42,63,-21,44
Southampton,18,49,66,-17,43
Ipswich Town,19,35,58,-23,43
Sheffield Utd,20,42,60,-18,42
Oldham Athletic,21,42,68,-26,40
Swindon Town,22,47,100,-53,30
Blackburn,1,80,39,41,89
Manchester Utd,2,77,29,48,88
Nottingham Forest,3,72,43,29,77
Liverpool,4,65,37,28,74
Leeds United,5,59,38,21,73
Newcastle Utd,6,67,47,20,72
Tottenham,7,66,58,8,62
QPR,8,61,59,2,60
Wimbledon,9,48,65,-17,56
Southampton,10,61,63,-2,54
Chelsea,11,50,55,-5,54
Arsenal,12,53,49,4,51
Sheffield Weds,13,49,57,-8,51
West Ham,14,44,48,-4,50
Everton,15,44,51,-7,50
Coventry City,16,44,62,-18,50
Manchester City,17,53,64,-11,49
Aston Villa,18,51,56,-5,48
Crystal Palace,19,34,49,-15,45
Norwich City,20,37,54,-17,43
Leicester City,21,45,80,-35,29
Ipswich Town,22,36,93,-57,27
Manchester Utd,1,73,35,38,82
Newcastle Utd,2,66,37,29,78
Liverpool,3,70,34,36,71
Aston Villa,4,52,35,17,63
Arsenal,5,49,32,17,63
Everton,6,64,44,20,61
Blackburn,7,61,47,14,61
Tottenham,8,50,38,12,61
Nottingham Forest,9,50,54,-4,58
West Ham,10,43,52,-9,51
Chelsea,11,46,44,2,50
Middlesbrough,12,35,50,-15,43
Leeds United,13,40,57,-17,43
Wimbledon,14,55,70,-15,41
Sheffield Weds,15,48,61,-13,40
Coventry City,16,42,60,-18,38
Southampton,17,34,52,-18,38
Manchester City,18,33,58,-25,38
QPR,19,38,57,-19,33
Bolton,20,39,71,-32,29
Manchester Utd,1,76,44,32,75
Newcastle Utd,2,73,40,33,68
Arsenal,3,62,32,30,68
Liverpool,4,62,37,25,68
Aston Villa,5,47,34,13,61
Chelsea,6,58,55,3,59
Sheffield Weds,7,50,51,-1,57
Wimbledon,8,49,46,3,56
Leicester City,9,46,54,-8,47
Tottenham,10,44,51,-7,46
Leeds United,11,28,38,-10,46
Derby County,12,45,58,-13,46
Blackburn,13,42,43,-1,42
West Ham,14,39,48,-9,42
Everton,15,44,57,-13,42
Southampton,16,50,56,-6,41
Coventry City,17,38,54,-16,41
Sunderland,18,35,53,-18,40
Middlesbrough,19,51,60,-9,39
Nottingham Forest,20,31,59,-28,34
Arsenal,1,68,33,35,78
Manchester Utd,2,73,26,47,77
Liverpool,3,68,42,26,65
Chelsea,4,71,43,28,63
Leeds United,5,57,46,11,59
Blackburn,6,57,52,5,58
Aston Villa,7,49,48,1,57
West Ham,8,56,57,-1,56
Derby County,9,52,49,3,55
Leicester City,10,51,41,10,53
Coventry City,11,46,44,2,52
Southampton,12,50,55,-5,48
Newcastle Utd,13,35,44,-9,44
Tottenham,14,44,56,-12,44
Wimbledon,15,34,46,-12,44
Sheffield Weds,16,52,67,-15,44
Everton,17,41,56,-15,40
Bolton,18,41,61,-20,40
Barnsley,19,37,82,-45,35
Crystal Palace,20,37,71,-34,33
Manchester Utd,1,80,37,43,79
Arsenal,2,59,17,42,78
Chelsea,3,57,30,27,75
Leeds United,4,62,34,28,67
West Ham,5,46,53,-7,57
Aston Villa,6,51,46,5,55
Liverpool,7,68,49,19,54
Derby County,8,40,45,-5,52
Middlesbrough,9,48,54,-6,51
Leicester City,10,40,46,-6,49
Tottenham,11,47,50,-3,47
Sheffield Weds,12,41,42,-1,46
Newcastle Utd,13,48,54,-6,46
Everton,14,42,47,-5,43
Coventry City,15,39,51,-12,42
Wimbledon,16,40,63,-23,42
Southampton,17,37,64,-27,41
Charlton Ath,18,41,56,-15,36
Blackburn,19,38,52,-14,35
Nottingham Forest,20,35,69,-34,30
Manchester Utd,1,97,45,52,91
Arsenal,2,73,43,30,73
Leeds United,3,58,43,15,69
Liverpool,4,51,30,21,67
Chelsea,5,53,34,19,65
Aston Villa,6,46,35,11,58
Sunderland,7,57,56,1,58
Leicester City,8,55,55,0,55
West Ham,9,52,53,-1,55
Tottenham,10,57,49,8,53
Newcastle Utd,11,63,54,9,52
Middlesbrough,12,46,52,-6,52
Everton,13,59,49,10,50
Coventry City,14,47,54,-7,44
Southampton,15,45,62,-17,44
Derby County,16,44,57,-13,38
Bradford City,17,38,68,-30,36
Wimbledon,18,46,74,-28,33
Sheffield Weds,19,38,70,-32,31
Watford,20,35,77,-42,24
Manchester Utd,1,79,31,48,80
Arsenal,2,63,38,25,70
Liverpool,3,71,39,32,69
Leeds United,4,64,43,21,68
Ipswich Town,5,57,42,15,66
Chelsea,6,68,45,23,61
Sunderland,7,46,41,5,57
Aston Villa,8,46,43,3,54
Charlton Ath,9,50,57,-7,52
Southampton,10,40,48,-8,52
Newcastle Utd,11,44,50,-6,51
Tottenham,12,47,54,-7,49
Leicester City,13,39,51,-12,48
Middlesbrough,14,44,44,0,42
West Ham,15,45,50,-5,42
Everton,16,45,59,-14,42
Derby County,17,37,59,-22,42
Manchester City,18,41,65,-24,34
Coventry City,19,36,63,-27,34
Bradford City,20,30,70,-40,26
Arsenal,1,79,36,43,87
Liverpool,2,67,30,37,80
Manchester Utd,3,87,45,42,77
Newcastle Utd,4,74,52,22,71
Leeds United,5,53,37,16,66
Chelsea,6,66,38,28,64
West Ham,7,48,57,-9,53
Aston Villa,8,46,47,-1,50
Tottenham,9,49,53,-4,50
Blackburn,10,55,51,4,46
Southampton,11,46,54,-8,45
Middlesbrough,12,35,47,-12,45
Fulham,13,36,44,-8,44
Charlton Ath,14,38,49,-11,44
Everton,15,45,57,-12,43
Bolton,16,44,62,-18,40
Sunderland,17,29,51,-22,40
Ipswich Town,18,41,64,-23,36
Derby County,19,33,63,-30,30
Leicester City,20,30,64,-34,28
Manchester Utd,1,74,34,40,83
Arsenal,2,85,42,43,78
Newcastle Utd,3,63,48,15,69
Chelsea,4,68,38,30,67
Liverpool,5,61,41,20,64
Blackburn,6,52,43,9,60
Everton,7,48,49,-1,59
Southampton,8,43,46,-3,52
Manchester City,9,47,54,-7,51
Tottenham,10,51,62,-11,50
Middlesbrough,11,48,44,4,49
Charlton Ath,12,45,56,-11,49
Birmingham City,13,41,49,-8,48
Fulham,14,41,50,-9,48
Leeds United,15,58,57,1,47
Aston Villa,16,42,47,-5,45
Bolton,17,41,51,-10,44
West Ham,18,42,59,-17,42
West Brom,19,29,65,-36,26
Sunderland,20,21,65,-44,19
Arsenal,1,73,26,47,90
Chelsea,2,67,30,37,79
Manchester Utd,3,64,35,29,75
Liverpool,4,55,37,18,60
Newcastle Utd,5,52,40,12,56
Aston Villa,6,48,44,4,56
Charlton Ath,7,51,51,0,53
Bolton,8,48,56,-8,53
Fulham,9,52,46,6,52
Birmingham City,10,43,48,-5,50
Middlesbrough,11,44,52,-8,48
Southampton,12,44,45,-1,47
Portsmouth,13,47,54,-7,45
Tottenham,14,47,57,-10,45
Blackburn,15,51,59,-8,44
Manchester City,16,55,54,1,41
Everton,17,45,57,-12,39
Leicester City,18,48,65,-17,33
Leeds United,19,40,79,-39,33
Wolves,20,38,77,-39,33
Chelsea,1,72,15,57,95
Arsenal,2,87,36,51,83
Manchester Utd,3,58,26,32,77
Everton,4,45,46,-1,61
Liverpool,5,52,41,11,58
Bolton,6,49,44,5,58
Middlesbrough,7,53,46,7,55
Manchester City,8,47,39,8,52
Tottenham,9,47,41,6,52
Aston Villa,10,45,52,-7,47
Charlton Ath,11,42,58,-16,46
Birmingham City,12,40,46,-6,45
Fulham,13,52,60,-8,44
Newcastle Utd,14,47,57,-10,44
Blackburn,15,32,43,-11,42
Portsmouth,16,43,59,-16,39
West Brom,17,36,61,-25,34
Crystal Palace,18,41,62,-21,33
Norwich City,19,42,77,-35,33
Southampton,20,45,66,-21,32
Chelsea,1,72,22,50,91
Manchester Utd,2,72,34,38,83
Liverpool,3,57,25,32,82
Arsenal,4,68,31,37,67
Tottenham,5,53,38,15,65
Blackburn,6,51,42,9,63
Newcastle Utd,7,47,42,5,58
Bolton,8,49,41,8,56
West Ham,9,52,55,-3,55
Wigan Athletic,10,45,52,-7,51
Everton,11,34,49,-15,50
Fulham,12,48,58,-10,48
Charlton Ath,13,41,55,-14,47
Middlesbrough,14,48,58,-10,45
Manchester City,15,43,48,-5,43
Aston Villa,16,42,55,-13,42
Portsmouth,17,37,62,-25,38
Birmingham City,18,28,50,-22,34
West Brom,19,31,58,-27,30
Sunderland,20,26,69,-43,15
Manchester Utd,1,83,27,56,89
Chelsea,2,64,24,40,83
Liverpool,3,57,27,30,68
Arsenal,4,63,35,28,68
Tottenham,5,57,54,3,60
Everton,6,52,36,16,58
Bolton,7,47,52,-5,56
Reading,8,52,47,5,55
