Season,Rank,Player,Club,Goals,IsTop10,Position,Age,Appearances,Goals_prev_season,Assists,Penalty_Goals,Non-Penalty_Goals,Goals_per_90,Big_6_Club_Feature,Club_League_Rank,Club_Total_Goals,League_Goals_per_Match,Games_in_Season
13,1,23,13,27,1,1,23,31,36.0,6.0,1.0,26,0.85,1.0,1,96,2.83,38.0
13,2,10,4,22,1,0,22,33,3.0,11.0,9.0,13,0.61,1.0,6,77,2.83,38.0
13,3,1,15,21,1,1,24,30,10.0,2.0,5.0,16,0.76,0.0,7,85,2.83,38.0
13,4,41,2,19,1,1,28,37,15.0,13.0,0.0,19,0.51,0.0,4,76,2.83,38.0
13,4,19,0,19,1,1,26,38,6.0,3.0,1.0,18,0.5,0.0,12,54,2.83,38.0
13,6,43,13,19,1,3,23,35,11.0,8.0,0.0,19,0.54,1.0,1,96,2.83,38.0
13,7,38,10,18,1,3,31,32,19.0,10.0,5.0,13,0.56,1.0,3,86,2.83,38.0
13,8,52,18,17,1,3,31,35,10.0,10.0,2.0,15,0.49,1.0,5,74,2.83,38.0
13,9,32,19,16,1,3,27,34,6.0,6.0,0.0,16,0.47,0.0,9,60,2.83,38.0
13,10,33,5,16,1,1,26,35,2.0,5.0,3.0,13,0.46,0.0,10,57,2.83,38.0
12,2,29,18,30,1,1,29,38,17.0,3.0,5.0,25,0.79,1.0,8,70,2.85,38.0
12,3,30,3,20,1,1,26,33,12.0,4.0,7.0,13,0.61,0.0,9,58,2.85,38.0
12,4,38,10,19,1,3,30,38,23.0,12.0,2.0,17,0.5,1.0,5,75,2.85,38.0
12,5,6,15,18,1,1,31,31,8.0,4.0,3.0,15,0.58,0.0,4,68,2.85,38.0
12,6,36,14,17,1,1,25,35,4.0,2.0,0.0,17,0.49,1.0,3,58,2.85,38.0
12,7,26,1,15,1,3,21,36,6.0,5.0,0.0,15,0.42,1.0,2,88,2.85,38.0
12,8,37,1,15,1,2,24,37,7.0,6.0,0.0,15,0.41,1.0,2,88,2.85,38.0
12,9,41,2,15,1,1,27,37,11.0,6.0,1.0,14,0.41,0.0,7,51,2.85,38.0
12,10,0,7,14,1,1,28,24,11.0,2.0,6.0,8,0.58,0.0,10,55,2.85,38.0
11,1,38,10,23,1,3,29,35,22.0,13.0,6.0,17,0.66,1.0,2,94,2.82,38.0
11,1,52,18,23,1,3,29,35,17.0,9.0,1.0,22,0.66,1.0,4,69,2.82,38.0
11,4,29,18,17,1,1,28,37,23.0,9.0,4.0,13,0.46,1.0,4,69,2.82,38.0
11,5,50,10,16,1,3,30,34,16.0,1.0,0.0,16,0.53,1.0,2,94,2.82,38.0
11,6,17,10,15,1,1,25,35,9.0,4.0,0.0,15,0.42,1.0,2,94,2.82,38.0
11,6,34,11,15,1,2,30,30,6.0,8.0,0.0,15,0.5,1.0,1,99,2.82,38.0
11,6,31,9,15,1,1,35,25,15.0,4.0,2.0,13,0.6,0.0,8,62,2.82,38.0
11,9,55,5,14,1,3,29,33,11.0,1.0,1.0,13,0.42,0.0,12,50,2.82,38.0
11,10,45,11,13,1,3,27,30,10.0,5.0,2.0,11,0.43,1.0,1,99,2.82,38.0
10,1,29,18,23,1,1,27,35,18.0,14.0,4.0,19,0.66,1.0,7,68,2.77,38.0
10,2,38,10,22,1,3,28,37,19.0,5.0,6.0,16,0.59,1.0,3,68,2.77,38.0
10,3,5,12,18,1,2,26,37,8.0,12.0,9.0,9,0.49,1.0,2,73,2.77,38.0
10,4,42,8,17,1,1,27,38,1.0,7.0,1.0,16,0.45,0.0,9,62,2.77,38.0
10,4,52,18,17,1,3,28,37,11.0,10.0,1.0,16,0.46,1.0,7,68,2.77,38.0
10,6,18,6,16,1,1,24,33,13.0,0.0,5.0,11,0.52,0.0,10,47,2.77,38.0
10,8,2,1,13,1,1,29,31,10.0,2.0,3.0,10,0.42,1.0,8,55,2.77,38.0
10,8,57,13,13,1,2,30,28,1.0,2.0,1.0,12,0.46,1.0,1,83,2.77,38.0
9,1,31,9,23,1,1,33,35,18.0,4.0,5.0,18,0.66,0.0,5,67,2.72,38.0
9,2,44,1,22,1,1,31,36,22.0,3.0,2.0,20,0.61,1.0,8,56,2.72,38.0
9,2,12,16,22,1,1,28,38,7.0,2.0,1.0,21,0.58,0.0,11,51,2.72,38.0
9,4,45,11,20,1,3,25,33,17.0,1.0,0.0,20,0.61,1.0,2,102,2.72,38.0
9,5,38,10,19,1,3,28,34,22.0,10.0,1.0,18,0.56,1.0,1,85,2.72,38.0
9,6,29,18,18,1,1,27,29,17.0,2.0,3.0,15,0.62,1.0,6,61,2.72,38.0
9,6,50,10,18,1,3,28,35,22.0,7.0,0.0,18,0.51,1.0,1,85,2.72,38.0
9,8,4,12,17,1,1,24,32,10.0,4.0,1.0,16,0.53,1.0,3,66,2.72,38.0
9,8,36,12,17,1,1,22,31,10.0,2.0,5.0,12,0.55,1.0,3,66,2.72,38.0
9,8,46,20,17,1,1,29,38,13.0,6.0,2.0,15,0.45,0.0,7,51,2.72,38.0
8,1,50,10,22,1,3,27,36,10.0,1.0,0.0,22,0.61,1.0,2,89,2.82,38.0
8,1,38,10,22,1,3,26,38,32.0,10.0,3.0,19,0.58,1.0,2,89,2.82,38.0
8,4,51,11,21,1,1,30,33,21.0,7.0,2.0,19,0.64,1.0,1,95,2.82,38.0
8,5,31,9,18,1,1,32,34,20.0,4.0,2.0,16,0.53,0.0,9,51,2.82,38.0
8,6,45,11,17,1,3,24,34,18.0,10.0,0.0,17,0.5,1.0,1,95,2.82,38.0
8,6,29,18,17,1,1,25,28,30.0,2.0,4.0,13,0.61,1.0,4,67,2.82,38.0
8,8,20,4,16,1,3,28,37,12.0,15.0,5.0,11,0.43,1.0,3,63,2.82,38.0
8,9,28,6,13,1,2,29,38,4.0,6.0,0.0,13,0.34,0.0,8,54,2.82,38.0
7,1,29,18,29,1,1,23,30,25.0,7.0,5.0,24,0.97,1.0,2,86,2.8,38.0
7,2,49,6,25,1,1,24,37,18.0,6.0,2.0,23,0.68,0.0,7,62,2.8,38.0
7,3,3,1,24,1,1,28,38,13.0,10.0,0.0,24,0.63,1.0,5,77,2.8,38.0
7,4,51,13,20,1,1,28,31,24.0,3.0,0.0,20,0.65,1.0,3,80,2.8,38.0
7,4,16,4,20,1,1,28,35,12.0,7.0,1.0,19,0.57,1.0,1,85,2.8,38.0
7,7,14,18,18,1,2,21,37,10.0,8.0,0.0,18,0.49,1.0,2,86,2.8,38.0
7,10,8,5,15,1,1,26,36,9.0,2.0,0.0,15,0.42,0.0,14,50,2.8,38.0
6,1,29,18,25,1,1,22,38,21.0,1.0,5.0,20,0.66,1.0,3,69,2.7,38.0
6,2,51,13,24,1,1,27,30,26.0,2.0,0.0,24,0.8,1.0,4,71,2.7,38.0
6,2,31,9,24,1,1,29,36,5.0,6.0,5.0,19,0.66,0.0,1,68,2.7,38.0
6,5,47,9,17,1,3,25,37,4.0,11.0,0.0,17,0.46,0.0,1,68,2.7,38.0
