Rank,Goals,IsTop10,Age,Appearances,Goals_prev_season,Assists,Penalty_Goals,Non-Penalty_Goals,Goals_per_90,Big_6_Club_Feature,Club_League_Rank,Club_Total_Goals,League_Goals_per_Match,Games_in_Season,Season_2008-09-01 00:00:00,Season_2009-10-01 00:00:00,Season_2010-11-01 00:00:00,Season_2011-12-01 00:00:00,Season_2012-13,Season_2013-14,Season_2015-16,Season_2016-17,Season_2018-19,Season_2019-20,Season_2020-21,Season_2021-22,Season_2022-23,Season_2023-24,Player_Aleksandar Mitrović,Player_Alexander Isak,Player_Alexandre Lacazette,Player_Alexis Sánchez,Player_Anthony Martial,Player_Bruno Fernandes,Player_Callum Wilson,Player_Carlos Tevez,Player_Christian Benteke,Player_Clint Dempsey,Player_Cole Palmer,Player_Daniel Sturridge,Player_Danny Ings,Player_Darren Bent,Player_Dele Alli,Player_Didier Drogba,Player_Diego Costa,Player_Diogo Jota,Player_Dominic Calvert-Lewin,Player_Dominic Solanke,Player_Eden Hazard,Player_Edin Džeko,Player_Emmanuel Adebayor,Player_Erling Haaland,Player_Fernando Torres,Player_Frank Lampard,Player_Gabriel Martinelli,Player_Gareth Bale,Player_Gylfi Sigurðsson,Player_Harry Kane,Player_Ivan Toney,Player_Jamie Vardy,Player_Jarrod Bowen,Player_Jean-Philippe Mateta,Player_Kevin De Bruyne,Player_Luis Suárez,Player_Marcus Rashford,Player_Martin Ødegaard,Player_Mohamed Salah,Player_Nicolas Anelka,Player_Olivier Giroud,Player_Ollie Watkins,Player_Patrick Bamford,Player_Phil Foden,Player_Pierre-Emerick Aubameyang,Player_Raheem Sterling,Player_Raúl Jiménez,Player_Riyad Mahrez,Player_Robin van Persie,Player_Romelu Lukaku,Player_Sadio Mané,Player_Sergio Agüero,Player_Son Heung-min,Player_Theo Walcott,Player_Wayne Rooney,Player_Wilfried Zaha,Player_Yaya Touré,Player_İlkay Gündoğan,Club_AFC Bournemouth,Club_Arsenal,Club_Aston Villa,Club_Brentford,Club_Chelsea,Club_Crystal Palace,Club_Everton,Club_Fulham,Club_Leeds United,Club_Leicester City,Club_Liverpool,Club_Man City,Club_Man United,Club_Manchester City,Club_Manchester United,Club_Newcastle United,Club_Southampton,Club_Sunderland/Aston Villa,Club_Tottenham Hotspur,Club_West Ham United,Club_Wolverhampton,Position_Attacking Midfielder,Position_Forward,Position_Midfielder,Position_Winger
1,27,1,23,31,36.0,6.0,1.0,26,0.85,1.0,1,96,2.83,38.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2,22,1,22,33,3.0,11.0,9.0,13,0.61,1.0,6,77,2.83,38.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
3,21,1,24,30,10.0,2.0,5.0,16,0.76,0.0,7,85,2.83,38.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
4,19,1,28,37,15.0,13.0,0.0,19,0.51,0.0,4,76,2.83,38.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
4,19,1,26,38,6.0,3.0,1.0,18,0.5,0.0,12,54,2.83,38.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
6,19,1,23,35,11.0,8.0,0.0,19,0.54,1.0,1,96,2.83,38.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
7,18,1,31,32,19.0,10.0,5.0,13,0.56,1.0,3,86,2.83,38.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8,17,1,31,35,10.0,10.0,2.0,15,0.49,1.0,5,74,2.83,38.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
9,16,1,27,34,6.0,6.0,0.0,16,0.47,0.0,9,60,2.83,38.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
10,16,1,26,35,2.0,5.0,3.0,13,0.46,0.0,10,57,2.83,38.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
