Date,FTR,HomeTeam,AwayTeam,Avg_Odds_H,Avg_Odds_D,Avg_Odds_A,form_goal_diff,form_shot_target_diff,form_conceded_diff,HTHG,HTAG,HS,AS,AST,HST,HC,AC,HY,AY,HR,AR,HF,AF,H_form_FTHG,H_form_FTAG,H_form_HTHG,H_form_HTAG,H_form_HS,H_form_AS,H_form_HF,H_form_AF,H_form_HC,H_form_AC,H_form_HST,H_form_AST,H_form_HY,H_form_AY,H_form_HR,H_form_AR,A_form_FTHG,A_form_FTAG,A_form_HTHG,A_form_HTAG,A_form_HS,A_form_AS,A_form_HF,A_form_AF,A_form_HC,A_form_AC,A_form_HST,A_form_AST,A_form_HY,A_form_AY,A_form_HR,A_form_AR,H_H2H_win_pct,A_H2H_win_pct,H2H_draw_pct,Season,HomeTeam_League_Rank,AwayTeam_League_Rank,HomeTeam_Strength,AwayTeam_Strength
2000-09-16,H,Sunderland,Derby,1.76,3.325,3.875,-0.3999999999999999,0.6000000000000005,-1.6,1.0,0.0,15.0,10.0,5.0,8.0,4.0,5.0,2.0,3.0,0.0,0.0,16.0,28.0,2.0,0.6,0.8,0.2,13.8,10.6,16.2,15.0,4.8,6.6,6.2,4.8,2.0,2.2,0.0,0.2,2.4,2.2,1.2,0.8,9.6,9.0,14.0,11.0,8.0,6.4,5.6,5.0,1.8,2.0,0.2,0.0,0.0,0.0,0.0,2000-2001,15,15,1500.0,1500.0
2000-09-16,A,Everton,Man United,4.315,3.25,1.7,-0.5999999999999996,-1.4000000000000004,0.6,0.0,3.0,6.0,17.0,9.0,4.0,6.0,5.0,4.0,1.0,0.0,0.0,10.0,11.0,2.2,1.2,1.2,0.4,12.4,10.0,15.2,11.8,6.8,4.6,7.4,5.8,1.8,1.8,0.0,0.2,2.8,0.6,1.0,0.4,17.0,8.6,11.8,10.6,5.4,3.4,8.8,4.4,0.6,1.8,0.0,0.0,0.0,0.0,0.0,2000-2001,15,15,1500.0,1500.0
2000-09-16,H,Southampton,Newcastle,2.75,3.225,2.225,0.2000000000000001,0.2000000000000001,0.8,0.0,0.0,13.0,10.0,7.0,9.0,4.0,8.0,0.0,0.0,0.0,0.0,14.0,14.0,1.6,1.6,0.2,0.8,11.4,9.8,11.2,12.8,7.6,6.8,5.4,4.6,1.8,1.4,0.2,0.0,1.4,0.8,0.6,0.4,13.2,10.4,14.2,14.6,6.2,4.6,5.2,4.4,0.2,1.6,0.2,0.0,0.0,0.0,0.0,2000-2001,15,15,1500.0,1500.0
2000-09-16,H,Arsenal,Coventry,1.25,4.415,10.25,1.6,3.3999999999999995,-0.6000000000000001,1.0,0.0,18.0,6.0,2.0,13.0,8.0,4.0,1.0,2.0,0.0,0.0,5.0,13.0,2.2,1.2,0.8,0.4,12.8,11.8,16.0,18.2,6.2,7.8,6.6,6.2,1.6,1.8,0.2,0.6,0.6,1.8,0.2,1.0,10.8,11.2,13.2,17.0,6.2,5.6,3.2,6.6,3.0,2.4,0.2,0.0,0.0,0.0,0.0,2000-2001,15,15,1500.0,1500.0
2000-09-16,H,Charlton,Tottenham,2.685,3.225,2.275,1.0,2.1999999999999997,0.3999999999999999,1.0,0.0,9.0,10.0,5.0,5.0,7.0,5.0,0.0,0.0,0.0,0.0,8.0,10.0,3.0,1.2,1.0,0.4,13.6,8.8,14.6,14.0,6.2,7.8,8.6,4.2,1.8,1.6,0.2,0.2,2.0,0.8,0.8,0.8,14.6,11.6,12.2,12.8,6.0,3.8,6.4,4.4,0.8,1.0,0.0,0.0,0.0,0.0,0.0,2000-2001,15,15,1500.0,1500.0
2000-09-17,A,Chelsea,Leicester,1.515,3.4,5.75,1.2000000000000002,-0.2000000000000001,0.6,0.0,1.0,16.0,7.0,5.0,10.0,15.0,3.0,3.0,1.0,0.0,0.0,16.0,17.0,1.8,1.0,0.8,0.2,12.6,12.0,15.8,17.0,6.4,6.6,6.2,5.2,0.8,1.6,0.0,0.0,0.6,0.4,0.0,0.0,11.8,7.6,11.4,12.0,7.6,5.0,6.4,4.2,1.4,1.8,0.2,0.0,0.0,0.0,0.0,2000-2001,15,15,1500.0,1500.0
2000-09-17,D,Man City,Middlesbrough,2.25,3.25,2.685,1.2000000000000002,2.1999999999999997,-0.6000000000000001,0.0,0.0,11.0,4.0,2.0,4.0,9.0,3.0,2.0,5.0,0.0,0.0,15.0,11.0,2.6,1.6,1.0,0.8,13.2,8.6,15.8,15.8,7.2,4.4,7.6,5.2,2.2,2.8,0.0,0.0,1.4,2.2,0.4,1.0,10.2,12.0,12.0,14.8,7.0,5.8,5.4,7.4,3.0,1.2,0.2,0.0,0.0,0.0,0.0,2000-2001,15,15,1500.0,1500.0
2000-09-17,D,West Ham,Liverpool,2.685,3.225,2.275,-0.7999999999999998,0.0,0.0,0.0,1.0,15.0,7.0,2.0,4.0,9.0,0.0,0.0,2.0,0.0,0.0,5.0,13.0,1.6,1.2,0.4,0.4,16.6,10.2,16.0,12.8,8.0,6.2,8.8,5.2,1.6,2.0,0.2,0.0,2.4,1.2,1.0,0.2,14.4,7.4,14.0,11.6,8.0,4.8,8.8,4.2,1.2,2.2,0.2,0.4,0.0,0.0,0.0,2000-2001,15,15,1500.0,1500.0
2000-09-23,D,Liverpool,Sunderland,1.375,3.75,7.5,0.1999999999999997,0.1999999999999993,0.5999999999999999,1.0,1.0,11.0,8.0,3.0,6.0,12.0,3.0,2.0,2.0,0.0,0.0,14.0,18.0,2.4,1.4,1.0,0.4,14.2,8.2,13.4,12.6,8.6,4.6,7.6,4.2,1.0,2.4,0.2,0.4,2.2,0.8,1.0,0.2,15.2,9.8,17.4,16.4,5.2,5.8,7.4,4.4,1.8,2.6,0.0,0.0,0.0,0.0,0.0,2000-2001,10,1,1500.0,1515.0
2000-09-23,A,Coventry,West Ham,2.3,3.25,2.625,-0.1999999999999999,-2.3999999999999995,0.3999999999999999,0.0,2.0,9.0,12.0,10.0,2.0,5.0,6.0,0.0,1.0,0.0,0.0,12.0,11.0,0.8,1.4,0.2,0.8,13.2,9.2,11.2,15.4,6.2,5.6,5.2,5.2,2.2,2.2,0.0,0.0,1.0,1.0,0.2,0.6,16.2,9.2,13.2,12.6,8.4,4.8,7.6,4.6,1.4,2.0,0.2,0.0,0.0,0.0,0.0,2000-2001,15,10,1485.0,1500.0
