Rank,Team,Possession (%),Matches,Country
1,Manchester City,65.4,38,ENG
2,Tottenham Hotspur,62.0,38,ENG
3,Liverpool,61.6,38,ENG
4,Brighton & Hove Albion,60.2,38,ENG
5,Chelsea,59.0,38,ENG
6,Arsenal,58.4,38,ENG
7,Aston Villa,53.3,38,ENG
8,Newcastle United,52.3,38,ENG
9,Fulham,50.7,38,ENG
10,Manchester United,50.5,38,ENG
11,Wolverhampton Wanderers,48.9,38,ENG
12,Burnley,47.4,38,ENG
13,Brentford,45.0,38,ENG
14,AFC Bournemouth,44.1,38,ENG
15,Luton Town,42.2,38,ENG
16,Crystal Palace,42.1,38,ENG
17,West Ham United,40.7,38,ENG
18,Everton,40.5,38,ENG
19,Nottingham Forest,40.3,38,ENG
20,Sheffield United,35.5,38,ENG
